"sim","name","k.studies","k.species","mu","sigma2.n","sigma2.p","sigma2.s","sigma2.u","rho","save_location","job_number","scenario"
12,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",512,6
13,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",513,6
14,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",514,6
15,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",515,6
16,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",516,6
17,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",517,6
18,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",518,6
19,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",519,6
20,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",520,6
21,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",521,6
22,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",522,6
23,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",523,6
24,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",524,6
25,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",525,6
26,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",526,6
27,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",527,6
28,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",528,6
29,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",529,6
30,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",530,6
31,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",531,6
32,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",532,6
33,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",533,6
34,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",534,6
35,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",535,6
36,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",536,6
37,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",537,6
38,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",538,6
39,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",539,6
40,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",540,6
41,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",541,6
42,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",542,6
43,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",543,6
44,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",544,6
45,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",545,6
46,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",546,6
47,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",547,6
48,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",548,6
49,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",549,6
50,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",550,6
51,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",551,6
52,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",552,6
53,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",553,6
54,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",554,6
55,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",555,6
56,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",556,6
57,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",557,6
58,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",558,6
59,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",559,6
60,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",560,6
61,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",561,6
62,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",562,6
63,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",563,6
64,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",564,6
65,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",565,6
66,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",566,6
67,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",567,6
68,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",568,6
69,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",569,6
70,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",570,6
71,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",571,6
72,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",572,6
73,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",573,6
74,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",574,6
75,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",575,6
76,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",576,6
77,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",577,6
78,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",578,6
79,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",579,6
80,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",580,6
81,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",581,6
82,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",582,6
83,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",583,6
84,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",584,6
85,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",585,6
86,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",586,6
87,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",587,6
88,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",588,6
89,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",589,6
90,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",590,6
91,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",591,6
92,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",592,6
93,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",593,6
94,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",594,6
95,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",595,6
96,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",596,6
97,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",597,6
98,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",598,6
99,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",599,6
100,"study2",50,40,0.2,0.3,0.3,0.05,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",600,6
1,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",601,7
2,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",602,7
3,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",603,7
4,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",604,7
5,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",605,7
6,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",606,7
7,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",607,7
8,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",608,7
9,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",609,7
10,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",610,7
11,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",611,7
12,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",612,7
13,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",613,7
14,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",614,7
15,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",615,7
16,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",616,7
17,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",617,7
18,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",618,7
19,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",619,7
20,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",620,7
21,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",621,7
22,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",622,7
23,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",623,7
24,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",624,7
25,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",625,7
26,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",626,7
27,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",627,7
28,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",628,7
29,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",629,7
30,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",630,7
31,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",631,7
32,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",632,7
33,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",633,7
34,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",634,7
35,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",635,7
36,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",636,7
37,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",637,7
38,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",638,7
39,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",639,7
40,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",640,7
41,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",641,7
42,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",642,7
43,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",643,7
44,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",644,7
45,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",645,7
46,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",646,7
47,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",647,7
48,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",648,7
49,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",649,7
50,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",650,7
51,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",651,7
52,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",652,7
53,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",653,7
54,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",654,7
55,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",655,7
56,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",656,7
57,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",657,7
58,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",658,7
59,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",659,7
60,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",660,7
61,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",661,7
62,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",662,7
63,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",663,7
64,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",664,7
65,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",665,7
66,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",666,7
67,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",667,7
68,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",668,7
69,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",669,7
70,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",670,7
71,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",671,7
72,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",672,7
73,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",673,7
74,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",674,7
75,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",675,7
76,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",676,7
77,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",677,7
78,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",678,7
79,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",679,7
80,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",680,7
81,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",681,7
82,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",682,7
83,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",683,7
84,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",684,7
85,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",685,7
86,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",686,7
87,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",687,7
88,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",688,7
89,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",689,7
90,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",690,7
91,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",691,7
92,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",692,7
93,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",693,7
94,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",694,7
95,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",695,7
96,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",696,7
97,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",697,7
98,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",698,7
99,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",699,7
100,"study2",20,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",700,7
1,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",701,8
2,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",702,8
3,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",703,8
4,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",704,8
5,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",705,8
6,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",706,8
7,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",707,8
8,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",708,8
9,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",709,8
10,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",710,8
11,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",711,8
12,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",712,8
13,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",713,8
14,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",714,8
15,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",715,8
16,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",716,8
17,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",717,8
18,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",718,8
19,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",719,8
20,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",720,8
21,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",721,8
22,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",722,8
23,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",723,8
24,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",724,8
25,"study2",50,40,0.2,0.3,0.3,0.3,0.3,0.2,"/srv/scratch/z5394590/phylo_meta_sandwich/",725,8
